holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
No Holiday,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673
No Holiday,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511
No Holiday,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471
No Holiday,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097
No Holiday,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887
No Holiday,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337
No Holiday,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692
No Holiday,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137
No Holiday,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623
No Holiday,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591
No Holiday,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898
No Holiday,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637
No Holiday,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777
No Holiday,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015
No Holiday,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598
No Holiday,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369
No Holiday,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312
No Holiday,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367
No Holiday,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835
No Holiday,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726
No Holiday,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689
No Holiday,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990
No Holiday,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985
No Holiday,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309
No Holiday,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603
No Holiday,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884
No Holiday,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104
No Holiday,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178
No Holiday,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501
No Holiday,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713
No Holiday,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292
No Holiday,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057
No Holiday,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907
No Holiday,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503
No Holiday,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037
No Holiday,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822
No Holiday,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992
No Holiday,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166
No Holiday,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627
No Holiday,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388
No Holiday,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368
No Holiday,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489
No Holiday,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537
No Holiday,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628
No Holiday,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534
No Holiday,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403
No Holiday,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770
No Holiday,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217
No Holiday,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870
No Holiday,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967
No Holiday,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108
No Holiday,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128
No Holiday,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069
No Holiday,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169
No Holiday,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384
No Holiday,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063
No Holiday,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364
No Holiday,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971
No Holiday,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450
No Holiday,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832
No Holiday,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231
No Holiday,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718
No Holiday,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545
No Holiday,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411
No Holiday,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688
No Holiday,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352
No Holiday,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072
No Holiday,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342
No Holiday,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258
No Holiday,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,4861
No Holiday,278.04,0.0,0.0,20,Clouds,few clouds,2012-10-06 11:00:00,5191
No Holiday,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,5669
No Holiday,280.12,0.0,0.0,75,Clouds,broken clouds,2012-10-06 13:00:00,5074
No Holiday,280.25,0.0,0.0,75,Clouds,broken clouds,2012-10-06 14:00:00,5025
No Holiday,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,5153
No Holiday,279.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 16:00:00,5024
No Holiday,278.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 17:00:00,4779
No Holiday,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,4362
No Holiday,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 19:00:00,3860
No Holiday,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 20:00:00,3160
No Holiday,277.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 21:00:00,2992
No Holiday,276.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 22:00:00,3202
No Holiday,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,1941
No Holiday,276.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07 00:00:00,1233
No Holiday,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 03:00:00,323
No Holiday,275.65,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 04:00:00,312
No Holiday,275.51,0.0,0.0,75,Clouds,broken clouds,2012-10-07 05:00:00,627
No Holiday,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,1508
No Holiday,274.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 07:00:00,1539
No Holiday,274.77,0.0,0.0,75,Clouds,broken clouds,2012-10-07 08:00:00,2232
No Holiday,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,4568
No Holiday,276.24,0.0,0.0,75,Clouds,broken clouds,2012-10-07 10:00:00,4624
No Holiday,277.01,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 11:00:00,4529
No Holiday,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,5139
No Holiday,278.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 13:00:00,6640
No Holiday,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 14:00:00,6589
No Holiday,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,4429
No Holiday,279.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 16:00:00,4329
No Holiday,279.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 17:00:00,3833
No Holiday,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 18:00:00,4015
No Holiday,278.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 19:00:00,3382
No Holiday,276.79,0.0,0.0,75,Clouds,broken clouds,2012-10-07 20:00:00,2815
No Holiday,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 21:00:00,2110
No Holiday,274.88,0.0,0.0,75,Clouds,broken clouds,2012-10-07 22:00:00,1555
No Holiday,273.92,0.0,0.0,20,Clouds,few clouds,2012-10-07 23:00:00,959
Columbus Day,273.08,0.0,0.0,20,Clouds,few clouds,2012-10-08 00:00:00,455
No Holiday,272.62,0.0,0.0,20,Clouds,few clouds,2012-10-08 01:00:00,336
No Holiday,271.78,0.0,0.0,1,Clear,sky is clear,2012-10-08 02:00:00,265
No Holiday,271.05,0.0,0.0,1,Clear,sky is clear,2012-10-08 03:00:00,314
No Holiday,270.63,0.0,0.0,1,Clear,sky is clear,2012-10-08 04:00:00,779
No Holiday,270.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 05:00:00,2571
No Holiday,269.61,0.0,0.0,20,Clouds,few clouds,2012-10-08 06:00:00,5563
No Holiday,270.01,0.0,0.0,20,Clouds,few clouds,2012-10-08 07:00:00,6676
No Holiday,271.23,0.0,0.0,20,Clouds,few clouds,2012-10-08 08:00:00,5966
No Holiday,273.71,0.0,0.0,20,Clouds,few clouds,2012-10-08 09:00:00,4832
No Holiday,276.77,0.0,0.0,20,Clouds,few clouds,2012-10-08 10:00:00,4395
No Holiday,279.47,0.0,0.0,20,Clouds,few clouds,2012-10-08 11:00:00,4411
No Holiday,279.84,0.0,0.0,1,Clear,sky is clear,2012-10-08 12:00:00,4648
No Holiday,282.34,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 13:00:00,4602
No Holiday,282.94,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 14:00:00,5125
No Holiday,283.48,0.0,0.0,1,Clear,sky is clear,2012-10-08 15:00:00,5502
No Holiday,284.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 16:00:00,5979
No Holiday,284.48,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 17:00:00,5663
No Holiday,284.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 18:00:00,4259
No Holiday,281.99,0.0,0.0,20,Clouds,few clouds,2012-10-08 19:00:00,3069
No Holiday,279.81,0.0,0.0,1,Clear,sky is clear,2012-10-08 20:00:00,2378
No Holiday,279.35,0.0,0.0,1,Clear,sky is clear,2012-10-08 21:00:00,2030
No Holiday,278.9,0.0,0.0,1,Clear,sky is clear,2012-10-08 22:00:00,1400
No Holiday,278.46,0.0,0.0,1,Clear,sky is clear,2012-10-08 23:00:00,917
No Holiday,277.78,0.0,0.0,1,Clear,sky is clear,2012-10-09 00:00:00,515
No Holiday,277.27,0.0,0.0,1,Clear,sky is clear,2012-10-09 01:00:00,302
No Holiday,277.47,0.0,0.0,1,Clear,sky is clear,2012-10-09 02:00:00,251
No Holiday,276.97,0.0,0.0,20,Clouds,few clouds,2012-10-09 04:00:00,798
No Holiday,276.52,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 05:00:00,2678
No Holiday,276.6,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 06:00:00,5733
No Holiday,277.31,0.0,0.0,75,Clouds,broken clouds,2012-10-09 07:00:00,6449
No Holiday,278.38,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 08:00:00,5765
No Holiday,279.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 09:00:00,5599
No Holiday,281.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 10:00:00,4534
No Holiday,283.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 11:00:00,4691
No Holiday,284.08,0.0,0.0,75,Clouds,broken clouds,2012-10-09 12:00:00,5067
No Holiday,285.14,0.0,0.0,75,Clouds,broken clouds,2012-10-09 13:00:00,5030
No Holiday,286.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 14:00:00,5300
No Holiday,287.23,0.0,0.0,100,Rain,light rain,2012-10-09 15:00:00,5777
No Holiday,288.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 16:00:00,6349
No Holiday,290.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 17:00:00,6127
No Holiday,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 18:00:00,4460
No Holiday,288.86,0.0,0.0,75,Clouds,broken clouds,2012-10-09 19:00:00,3418
No Holiday,287.36,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 20:00:00,2775
No Holiday,285.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 21:00:00,2306
No Holiday,283.46,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 22:00:00,1846
No Holiday,282.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 23:00:00,947
No Holiday,281.88,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 00:00:00,494
No Holiday,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 01:00:00,332
No Holiday,281.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 02:00:00,261
No Holiday,281.17,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 03:00:00,361
No Holiday,281.25,0.0,0.0,92,Clear,sky is clear,2012-10-10 06:00:00,5875
No Holiday,281.25,0.0,0.0,99,Rain,light rain,2012-10-10 07:00:00,6793
No Holiday,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 07:00:00,6793
No Holiday,280.1,0.0,0.0,99,Rain,light rain,2012-10-10 08:00:00,6283
No Holiday,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 08:00:00,6283
No Holiday,279.61,0.0,0.0,99,Rain,light rain,2012-10-10 09:00:00,5680
No Holiday,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 09:00:00,5680
No Holiday,279.67,0.0,0.0,99,Clear,sky is clear,2012-10-10 10:00:00,4632
No Holiday,280.19,0.0,0.0,1,Clear,sky is clear,2012-10-10 11:00:00,4887
No Holiday,282.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 12:00:00,5030
No Holiday,282.26,0.0,0.0,75,Clouds,broken clouds,2012-10-10 13:00:00,5067
No Holiday,282.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 14:00:00,5227
No Holiday,281.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 15:00:00,5610
No Holiday,281.23,0.0,0.0,81,Clear,sky is clear,2012-10-10 16:00:00,6286
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 18:00:00,4775
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 19:00:00,3340
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 20:00:00,3013
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 21:00:00,2603
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 22:00:00,1910
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 23:00:00,1037
No Holiday,273.9,0.0,0.0,1,Clear,sky is clear,2012-10-11 01:00:00,347
No Holiday,274.4,0.0,0.0,75,Clouds,broken clouds,2012-10-11 03:00:00,350
No Holiday,274.05,0.0,0.0,75,Clouds,broken clouds,2012-10-11 04:00:00,850
No Holiday,273.71,0.0,0.0,40,Clouds,scattered clouds,2012-10-11 05:00:00,2791
No Holiday,272.66,0.0,0.0,1,Clear,sky is clear,2012-10-11 06:00:00,5809
No Holiday,272.65,0.0,0.0,1,Clear,sky is clear,2012-10-11 07:00:00,6798
No Holiday,272.52,0.0,0.0,1,Clear,sky is clear,2012-10-11 08:00:00,6304
No Holiday,275.19,0.0,0.0,20,Clouds,few clouds,2012-10-11 09:00:00,5291
No Holiday,275.34,0.0,0.0,1,Clear,sky is clear,2012-10-11 10:00:00,4638
No Holiday,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 14:00:00,5557
No Holiday,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 15:00:00,5818
No Holiday,283.78,0.0,0.0,75,Clouds,broken clouds,2012-10-11 16:00:00,6272
No Holiday,283.52,0.0,0.0,75,Clouds,broken clouds,2012-10-11 17:00:00,5944
No Holiday,283.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 18:00:00,4949
No Holiday,282.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 19:00:00,3511
No Holiday,281.95,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 20:00:00,3039
No Holiday,281.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 21:00:00,2679
No Holiday,282.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 22:00:00,2094
No Holiday,282.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 23:00:00,1284
No Holiday,283.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 00:00:00,630
No Holiday,284.64,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 01:00:00,410
No Holiday,284.61,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 02:00:00,331
No Holiday,283.18,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 03:00:00,372
No Holiday,282.26,0.0,0.0,72,Rain,light rain,2012-10-12 04:00:00,739
No Holiday,280.77,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 05:00:00,2561
No Holiday,278.53,0.0,0.0,75,Clouds,broken clouds,2012-10-12 06:00:00,5586
No Holiday,277.64,0.0,0.0,75,Clouds,broken clouds,2012-10-12 07:00:00,6992
No Holiday,277.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 08:00:00,5860
No Holiday,278.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 09:00:00,5230
No Holiday,279.29,0.0,0.0,75,Clouds,broken clouds,2012-10-12 10:00:00,4864
No Holiday,280.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 11:00:00,5146
No Holiday,280.95,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 12:00:00,5526
No Holiday,281.74,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 13:00:00,5383
No Holiday,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-12 14:00:00,5758
No Holiday,282.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 15:00:00,5889
No Holiday,282.2,0.0,0.0,75,Clouds,broken clouds,2012-10-12 16:00:00,6057
No Holiday,281.54,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 17:00:00,6028
No Holiday,280.21,0.0,0.0,20,Clouds,few clouds,2012-10-12 18:00:00,5257
No Holiday,282.2,0.0,0.0,56,Clear,sky is clear,2012-10-12 23:00:00,1897
No Holiday,272.58,0.0,0.0,1,Clear,sky is clear,2012-10-13 00:00:00,1335
No Holiday,272.06,0.0,0.0,1,Clear,sky is clear,2012-10-13 01:00:00,769
No Holiday,270.99,0.0,0.0,1,Clear,sky is clear,2012-10-13 02:00:00,570
No Holiday,270.29,0.0,0.0,20,Clouds,few clouds,2012-10-13 03:00:00,413
No Holiday,269.48,0.0,0.0,1,Clear,sky is clear,2012-10-13 04:00:00,399
No Holiday,269.27,0.0,0.0,1,Clear,sky is clear,2012-10-13 05:00:00,740
No Holiday,268.91,0.0,0.0,1,Clear,sky is clear,2012-10-13 06:00:00,1420
No Holiday,268.98,0.0,0.0,75,Clouds,broken clouds,2012-10-13 07:00:00,2220
No Holiday,269.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 08:00:00,3479
No Holiday,272.61,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 09:00:00,4546
No Holiday,276.78,0.0,0.0,20,Clouds,few clouds,2012-10-13 10:00:00,4579
No Holiday,279.22,0.0,0.0,1,Clear,sky is clear,2012-10-13 11:00:00,4438
No Holiday,280.35,0.0,0.0,1,Clear,sky is clear,2012-10-13 12:00:00,4623
No Holiday,281.81,0.0,0.0,1,Clear,sky is clear,2012-10-13 13:00:00,4440
No Holiday,283.05,0.0,0.0,1,Clear,sky is clear,2012-10-13 14:00:00,4495
No Holiday,283.96,0.0,0.0,1,Clear,sky is clear,2012-10-13 15:00:00,4483
No Holiday,284.53,0.0,0.0,1,Clear,sky is clear,2012-10-13 16:00:00,4591
No Holiday,284.44,0.0,0.0,1,Clear,sky is clear,2012-10-13 17:00:00,4477
No Holiday,283.64,0.0,0.0,1,Clear,sky is clear,2012-10-13 18:00:00,4221
No Holiday,281.85,0.0,0.0,20,Clouds,few clouds,2012-10-13 19:00:00,3672
No Holiday,281.38,0.0,0.0,1,Clear,sky is clear,2012-10-13 20:00:00,3015
No Holiday,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-13 21:00:00,2769
No Holiday,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 22:00:00,2875
No Holiday,282.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 23:00:00,1931
No Holiday,282.49,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 00:00:00,1309
No Holiday,282.54,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 01:00:00,870
No Holiday,282.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 02:00:00,654
No Holiday,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 03:00:00,364
No Holiday,282.08,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 04:00:00,262
No Holiday,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 05:00:00,505
No Holiday,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 06:00:00,861
No Holiday,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 07:00:00,1132
No Holiday,282.24,0.0,0.0,57,Mist,mist,2012-10-14 08:00:00,1797
No Holiday,282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 09:00:00,2685
No Holiday,282.43,0.0,0.0,57,Mist,mist,2012-10-14 09:00:00,2685
No Holiday,282.43,0.0,0.0,57,Haze,haze,2012-10-14 09:00:00,2685
No Holiday,282.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 10:00:00,3370
No Holiday,282.33,0.0,0.0,57,Mist,mist,2012-10-14 10:00:00,3370
No Holiday,282.82,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 11:00:00,3662
No Holiday,282.82,0.0,0.0,57,Mist,mist,2012-10-14 11:00:00,3662
No Holiday,283.33,0.0,0.0,57,Mist,mist,2012-10-14 12:00:00,4076
No Holiday,283.33,0.0,0.0,57,Rain,light rain,2012-10-14 12:00:00,4076
No Holiday,283.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 12:00:00,4076
No Holiday,283.75,0.0,0.0,93,Rain,light rain,2012-10-14 13:00:00,4128
No Holiday,283.75,0.0,0.0,93,Mist,mist,2012-10-14 13:00:00,4128
No Holiday,283.75,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 13:00:00,4128
No Holiday,284.09,0.0,0.0,93,Mist,mist,2012-10-14 14:00:00,4358
No Holiday,284.09,0.0,0.0,93,Rain,light rain,2012-10-14 14:00:00,4358
No Holiday,284.09,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 14:00:00,4358
No Holiday,284.55,0.0,0.0,93,Mist,mist,2012-10-14 15:00:00,4342
No Holiday,284.55,0.0,0.0,93,Rain,light rain,2012-10-14 15:00:00,4342
No Holiday,284.68,0.0,0.0,93,Mist,mist,2012-10-14 16:00:00,4234
No Holiday,284.64,0.0,0.0,93,Rain,light rain,2012-10-14 17:00:00,4271
No Holiday,284.64,0.0,0.0,93,Mist,mist,2012-10-14 17:00:00,4271
No Holiday,284.4,0.0,0.0,93,Mist,mist,2012-10-14 18:00:00,4080
No Holiday,284.17,0.0,0.0,93,Mist,mist,2012-10-14 19:00:00,3453
No Holiday,284.03,0.0,0.0,93,Mist,mist,2012-10-14 20:00:00,2718
No Holiday,283.58,0.0,0.0,93,Mist,mist,2012-10-14 21:00:00,2439
No Holiday,283.04,0.0,0.0,93,Mist,mist,2012-10-14 22:00:00,1819
No Holiday,281.95,0.0,0.0,93,Mist,mist,2012-10-14 23:00:00,1002
No Holiday,281.95,0.0,0.0,93,Fog,fog,2012-10-14 23:00:00,1002
No Holiday,281.61,0.0,0.0,93,Mist,mist,2012-10-15 00:00:00,542
